asset_code,module,module_name,domain,asset_name,asset_type,locality,latitude,longitude,management_unit,status,investment_need,source_id,source_status,updated_at,geometry_type,source_table,record_hash
CEM-001,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 01,CEMETERY,Khu vực trung tâm,12.6662,108.0382,Đơn vị quản lý A,ACTIVE,Cải tạo đường nội bộ,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,5cbec952d4343651806710fbdcbc2223628c18d030091cdb2d203ee19a3a9358
CEM-002,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 02,CEMETERY,Khu vực phía Bắc,12.81,108.26,UBND địa phương B,REVIEW,Rà soát khả năng mở rộng,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,4560a9d6455a1bee67b4f472fab0616ed32c6be202b0faee261db9f68a13e777
CEM-003,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 03,CEMETERY,Khu vực phía Đông,13.095,109.295,Đơn vị quản lý C,ACTIVE,Bổ sung cây xanh,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,a0565f5974231b79113820fc04c264d06a71456088281bae03f6230e1ad33249
CEM-004,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 04,CEMETERY,Khu vực phía Nam,12.49,108.18,UBND địa phương D,RESTRICTED,Đánh giá phương án đóng cửa,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,886bbed7b1b8ef273d1045704f5181512aa636b1cffb74d281dc8ff9423747e8
CEM-005,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 05,CEMETERY,Khu vực cao nguyên,12.92,108.12,Đơn vị quản lý E,ACTIVE,Hoàn thiện hạ tầng kỹ thuật,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,e9bb4b63106e8c1d1909f9aca59f7fe1f48394a8d72ab7501dd54288c59b90fa
CEM-006,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 06,CEMETERY,Khu vực ven biển,13.02,109.33,UBND địa phương F,ACTIVE,Rà soát thoát nước,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,4b5e3786c7cfc6b7f524f8423ad6a2b2255954e13136a570379e9c0844bdec2b
CEM-007,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 07,CEMETERY,Khu vực phía Tây,12.73,107.85,Đơn vị quản lý G,REVIEW,Đánh giá quỹ đất còn lại,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,a0b6334182abe398f263aa0a46207d116ab9f32d891b19252efa3187a30468f2
CEM-008,cemetery,DakCemetery AI,Nghĩa trang và cơ sở hỏa táng,Nghĩa trang mẫu khu vực 08,CEMETERY,Khu vực phía Đông Nam,12.88,109.18,UBND địa phương H,ACTIVE,Đầu tư đường tiếp cận,SRC-MVP-CEM-001,DEMO,2026-08-14,POINT,cemetery_assets.csv,0a619b33363ca03e32d936a836187f76812ce9e7f5172b4bf074e197680da3e5
DRN-001,drain,DakDrain AI,Thoát nước và xử lý nước thải,Tuyến cống mẫu 01,SEWER,Khu vực trung tâm,12.672,108.04,Đơn vị thoát nước A,ACTIVE,Nạo vét định kỳ,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,e4ba140eb858a778fc0da21ef500c9c076476a24dba05fbff288bbcc9d168e36
DRN-002,drain,DakDrain AI,Thoát nước và xử lý nước thải,Điểm ngập mẫu 01,FLOOD_POINT,Khu vực trung tâm,12.665,108.055,Đơn vị thoát nước A,REVIEW,Nâng tiết diện cống,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,82145c959f982b445e26cc55dabda28510855831336e598d6f254e0d4f785d75
