history_id,asset_code,module,changed_at,event_type,actor,old_hash,new_hash,note
HIS-CEM-001,CEM-001,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,5cbec952d4343651806710fbdcbc2223628c18d030091cdb2d203ee19a3a9358,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-002,CEM-002,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,4560a9d6455a1bee67b4f472fab0616ed32c6be202b0faee261db9f68a13e777,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-003,CEM-003,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,a0565f5974231b79113820fc04c264d06a71456088281bae03f6230e1ad33249,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-004,CEM-004,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,886bbed7b1b8ef273d1045704f5181512aa636b1cffb74d281dc8ff9423747e8,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-005,CEM-005,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,e9bb4b63106e8c1d1909f9aca59f7fe1f48394a8d72ab7501dd54288c59b90fa,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-006,CEM-006,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,4b5e3786c7cfc6b7f524f8423ad6a2b2255954e13136a570379e9c0844bdec2b,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-007,CEM-007,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,a0b6334182abe398f263aa0a46207d116ab9f32d891b19252efa3187a30468f2,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-CEM-008,CEM-008,cemetery,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,0a619b33363ca03e32d936a836187f76812ce9e7f5172b4bf074e197680da3e5,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-001,DRN-001,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,e4ba140eb858a778fc0da21ef500c9c076476a24dba05fbff288bbcc9d168e36,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-002,DRN-002,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,82145c959f982b445e26cc55dabda28510855831336e598d6f254e0d4f785d75,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-003,DRN-003,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,e511f376d250df14585ad135faea92169fc7a9b219b49f15b72947f7443630ff,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-004,DRN-004,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,6048021bfd79d119587651bde33e0e4adf0918b09708ced42a04aa23606613f4,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-005,DRN-005,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,c08d79f6c26b0a839ea76eaf72b7d127343c64a51ab0b8608d996d84bd99c586,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
