asset_code,module,legal_source_id,legal_status,effective_scope,note,updated_at
CEM-001,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-002,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-003,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-004,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-005,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-006,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-007,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
CEM-008,cemetery,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-001,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-002,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-003,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-004,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-005,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-006,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-007,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-008,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-009,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRN-010,drain,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
DRA-BMT-001,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-002,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-003,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-004,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-005,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-006,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-007,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-008,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-009,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
DRA-BMT-010,road,,KE_THUA_KHO_DAKROAD,,Có kho nguồn pháp lý DakRoad dùng chung; phạm vi áp dụng cho từng hồ sơ/tài sản phải được cán bộ xác định.,2026-08-14
WTR-001,water,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
WTR-002,water,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
WTR-003,water,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
WTR-004,water,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
WTR-005,water,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
WTR-006,water,,CHUA_NAP_BO_PHAP_LY_CHUYEN_NGANH,,MVP v0.2 mới tạo khung liên kết; chưa gán quy định chuyên ngành cụ thể.,2026-08-14
