asset_code,module,planning_status,planning_document,planning_ref,land_status,note,updated_at
CEM-001,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-002,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-003,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-004,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-005,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-006,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-007,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
CEM-008,cemetery,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-001,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-002,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-003,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-004,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-005,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-006,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-007,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-008,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRN-009,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
