asset_code,module,operator_unit,operational_status,condition_status,last_inspection_date,capacity_kpi,service_kpi,note,updated_at
CEM-001,cemetery,Đơn vị quản lý A,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-002,cemetery,UBND địa phương B,REVIEW,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-003,cemetery,Đơn vị quản lý C,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-004,cemetery,UBND địa phương D,RESTRICTED,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-005,cemetery,Đơn vị quản lý E,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-006,cemetery,UBND địa phương F,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-007,cemetery,Đơn vị quản lý G,REVIEW,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
CEM-008,cemetery,UBND địa phương H,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-001,drain,Đơn vị thoát nước A,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-002,drain,Đơn vị thoát nước A,REVIEW,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-003,drain,Đơn vị thoát nước B,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-004,drain,Đơn vị thoát nước B,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-005,drain,Đơn vị thoát nước C,REVIEW,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-006,drain,Đơn vị thoát nước C,REVIEW,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-007,drain,Đơn vị thoát nước D,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
DRN-008,drain,Đơn vị thoát nước E,ACTIVE,CHUA_CAP_NHAT,,,,MVP v0.2 chưa kết nối dữ liệu vận hành thời gian thực.,2026-08-14
