source_id,title,document_no,date,issuer,document_type,territory,status,legal_level,summary,source_filename,sha256,notes
SRC-NQ35-2022-PY,"Quy định mức thu, quản lý và sử dụng phí sử dụng tạm thời lòng đường, hè phố",35/2022/NQ-HĐND,2022-11-18,HĐND tỉnh Phú Yên,Nghị quyết,Địa bàn tỉnh Phú Yên trước sắp xếp,OFFICIAL_SOURCE,Văn bản quy phạm pháp luật,"Quy định theo địa phương, vị trí, mục đích và số buổi sử dụng; cơ chế 20% để lại, 80% nộp ngân sách.","2022.11.18 - NQ 35_2022_NQ-HDND quy định Mức thu, QL&SD phí SD tạm thời lòng đường hè phố tỉnh PY cũ(1).docx",f78d1fd918fb887793d6bbeac4f59b97558d8aefd6df8c8d19d7b68cf2b457e5,
SRC-NQ24-2024-DL,"Quy định thu phí, lệ phí thuộc thẩm quyền quyết định của HĐND tỉnh",24/2024/NQ-HĐND,2024-12-06,HĐND tỉnh Đắk Lắk,Nghị quyết,Địa bàn tỉnh Đắk Lắk trước sắp xếp,OFFICIAL_SOURCE,Văn bản quy phạm pháp luật,"Điều 5 quy định phí sử dụng tạm thời lòng đường, hè phố; cơ chế 50% để lại, 50% nộp ngân sách theo văn bản.","2024.12.06 - NQ 24_2024_NQ-HDND quy định thu phí, lệ phí thuộc thẩm quyền QĐ của HĐND tỉnh DakLak cũ(1).docx",0e31c63de033f13beaf0a3f8fa6c8db054291dea869dec1753e7299324001891,
SRC-KH19-2026-TANLAP,"Kế hoạch tổ chức Chợ hoa, cây cảnh và nghệ thuật truyền thống Tết Bính Ngọ",19/KH-UBND,2026-01-29,UBND phường Tân Lập,Kế hoạch,Phường Tân Lập,LOCAL_IMPLEMENTATION,Văn bản hành chính,"Vận dụng mức 50.000 đồng/m2 cho thời gian ngắn và phí vệ sinh 12.000 đồng/m2; dùng làm dữ liệu thực tiễn, không phải quy định chung.",2026.01.29 - 19_KH-UBND.P.TânLập KH tổ chức Chợ hoa Cây cảnh & Nghệ thuật truyền thống PV Tết NĐ Bính Ngọ 2026(2).pdf,48c78d326e1e2377382971ca0436a3bbc2fd2bb7576e55ba30c449686289b17f,
SRC-DA05-2026-EAPHE,"Đề án thu phí sử dụng tạm thời lòng đường, hè phố; lệ phí hộ tịch; lệ phí đăng ký kinh doanh",05/ĐA-UBND,2026-06-26,UBND xã Ea Phê,Đề án,Xã Ea Phê,LOCAL_DRAFT,Hồ sơ đề xuất,Đề xuất mức theo khoảng và cơ chế 50/50; cần thẩm định trước khi sử dụng làm căn cứ tính phí.,2026.06.26 - 05_DA-UBND (Xã Ea Phê) Đề án Thu phí SD tạm thời lòng đường hè phố; Lệ phí hộ tịch; Lệ phí ĐK kinh doanh(2).pdf,d9a0bd0dde0ab104ebced1757ef81fa4c3979462d930a2953766c44dae3b9c8c,
SRC-BC294-2026-TAYSON,"Báo cáo rà soát, đề xuất phí sử dụng tạm thời lòng đường, hè phố",294/BC-UBND,2026-06-29,UBND xã Tây Sơn,Báo cáo,Xã Tây Sơn,LOCAL_RECOMMENDATION,Hồ sơ đề xuất,"Đề nghị kế thừa NQ35/2022, không tăng trong giai đoạn chuyển tiếp và chờ nghị quyết thống nhất.",2026.06.29 - 294_UB.xa.TaySon BC RSĐX đv phí SD tạm thời lòng đường hè phố & Lệ phí ĐKKD(2).docx,6c071ae1fdacc7cd1aceb83e8cea3e3285f4e174287fb5e1644bd9c8249673df,
SRC-DA1057-2026-EAKTUR,"Đề án thu phí sử dụng tạm thời lòng đường, hè phố",1057/ĐA-UBND,2026-07-06,UBND xã Ea Ktur,Đề án,Xã Ea Ktur,LOCAL_PROPOSAL,Hồ sơ đề xuất,"Kế thừa mức NQ24/2024, đề xuất mức trực tuyến bằng 80%, tỷ lệ 50/50.",03_1057_CV-UBND_06072026-signed.pdf,1c4e6b7ebd8299f102d857c0ff4f50f509eec508d42eaa435909d86346576b43,
SRC-DA-2026-BUONHO,"Đề án thu phí sử dụng tạm thời lòng đường, hè phố",Kèm 123/TTr-UBND,2026-07-07,UBND phường Buôn Hồ,Đề án,Phường Buôn Hồ,LOCAL_PROPOSAL,Hồ sơ đề xuất,"Giữ mức NQ24/2024; đề xuất nộp 100% ngân sách theo cách hiểu NĐ 362/2025; dự toán thu khoảng 157,8 triệu đồng/năm.",03_DE_AN_SU_DUNG_TAM_VIA_HE.pdf,bfbdd7c6d12e9382f7cd3d3ea72c2e2fdae1cb6976a4e50347f939175dd17e27,
SRC-DA05-2026-SONHOA,"Đề án thu phí sử dụng tạm thời lòng đường, hè phố",05/ĐA-UBND,2026-07-13,UBND xã Sơn Hòa,Đề án,Xã Sơn Hòa,LOCAL_PROPOSAL,Hồ sơ đề xuất,"Kế thừa ma trận vị trí theo NQ35/2022; đề xuất nộp 100% ngân sách; dự toán thu 72,84 triệu đồng/năm.",01_05__A-UBND_13072026-signed_01.pdf,43b18f29a3d840b48ddaed986b4cb4e8d2a68837c6a7e1cc25e52cec8aa0eccc,
SRC-DA05-2026-CUMTA,"Đề án thu phí sử dụng tạm thời lòng đường, hè phố",05/ĐA-UBND,2026-07-14,UBND xã Cư M’ta,Đề án,Xã Cư M’ta,LOCAL_PROPOSAL,Hồ sơ đề xuất,Đề xuất mức phẳng 15.000-25.000 đồng/m2/tháng; nộp 100% ngân sách; cần đối chiếu căn cứ định lượng.,01_05__A-UBND_14072026-signed_01.pdf,420763e3304fec81a73f09343ba5d84c35d7821e4baa34f1bca044987f9e3e25,
SRC-DA-2026-EASUP,"Đề án thu phí sử dụng tạm thời lòng đường, hè phố và khu vực công cộng",Kèm 86/TTr-UBND,2026-07-14,UBND xã Ea Súp,Đề án,Xã Ea Súp,LOCAL_PROPOSAL,Hồ sơ đề xuất,"Kế thừa nhóm mức NQ24 và mở rộng sang quảng trường, đất công; đề xuất 50/50; phạm vi khu vực công cộng cần thẩm định riêng.",01_De_an_trinh_xem_xet_g_i_SXD_.docx,eea28bb5224b3b735f8dc078c2c56687f6d6d0dd37f0da5ba44694c46e3d89e2,
