source_id,package_no,reporting_entity,source_type,data_use_status,structured_records,reported_count,reported_area_ha,records_with_quality_flags,verification_status
CEM-SRC-01,1,Nguồn báo cáo 01,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,16,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-02,2,Nguồn báo cáo 02,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,9,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-03,3,Nguồn báo cáo 03,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,10,,,10,NOT_VERIFIED_BY_SXD
CEM-SRC-04,4,Nguồn báo cáo 04,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,19,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-05,5,Nguồn báo cáo 05,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,5,,,4,NOT_VERIFIED_BY_SXD
CEM-SRC-06,6,Nguồn báo cáo 06,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,4,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-07,7,Nguồn báo cáo 07,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,1,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-08,8,Nguồn báo cáo 08,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,7,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-09,9,Nguồn báo cáo 09,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,4,,,4,NOT_VERIFIED_BY_SXD
CEM-SRC-10,10,Nguồn báo cáo 10,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,14,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-11,11,Nguồn báo cáo 11,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,9,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-12,12,Nguồn báo cáo 12,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,1,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-13,13,Nguồn báo cáo 13,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,21,,,5,NOT_VERIFIED_BY_SXD
CEM-SRC-14,14,Nguồn báo cáo 14,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,9,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-15,15,Nguồn báo cáo 15,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,1,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-16,16,Nguồn báo cáo 16,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,16,,,16,NOT_VERIFIED_BY_SXD
CEM-SRC-17,17,Nguồn báo cáo 17,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,4,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-18,18,Nguồn báo cáo 18,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,19,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-19,19,Nguồn báo cáo 19,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,2,,,2,NOT_VERIFIED_BY_SXD
CEM-SRC-20,20,Nguồn báo cáo 20,LOCAL_IMPLEMENTATION_DIRECTIVE,CONTEXT_ONLY,0,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-21,21,Nguồn báo cáo 21,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,17,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-22,22,Nguồn báo cáo 22,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,11,,,11,NOT_VERIFIED_BY_SXD
CEM-SRC-23,23,Nguồn báo cáo 23,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,5,,,4,NOT_VERIFIED_BY_SXD
CEM-SRC-24,24,Nguồn báo cáo 24,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,27,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-25,25,Nguồn báo cáo 25,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,2,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-26,26,Nguồn báo cáo 26,LOCAL_INVENTORY_REPORT,SUMMARY_ONLY_NEEDS_DETAIL,0,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-27,27,Nguồn báo cáo 27,CANCELLED_LOCAL_REPORT,EXCLUDED_CANCELLED,0,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-28,28,Nguồn báo cáo 28,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,7,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-29,29,Nguồn báo cáo 29,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,1,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-30,30,Nguồn báo cáo 30,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,29,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-31,31,Nguồn báo cáo 31,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,27,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-32,32,Nguồn báo cáo 32,LOCAL_INVENTORY_REPORT,PROVISIONAL_EXTRACTED,2,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-33,33,Nguồn báo cáo 33,LOCAL_PLANNING_CONTEXT,CONTEXT_EXTRACTED,1,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-34,34,Nguồn báo cáo 34,LOCAL_CLOSURE_DECISION,CONTEXT_EXTRACTED,2,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-A1,A1,Nguồn báo cáo 35,OPERATOR_REPORT,CONTEXT_EXTRACTED,1,,,0,NOT_VERIFIED_BY_SXD
CEM-SRC-A2,A2,Nguồn báo cáo 36,KKT_RELOCATION_CONTEXT,CONTEXT_ONLY,0,,,0,NOT_VERIFIED_BY_SXD
